KIC;Kpmag;QLen;DLen;numax;e_numax;Delnu;e_Delnu;A;e_A;Width;e_Width;Gran;e_Gran;Teff;e_Teff;logg;e_log(g);[Fe/H];e_[Fe/H];NoCorM;e_NoCorM;NoCorR;e_NoCorR;RGBcorM;e_RGBcorM;RGBcorR;e_RGBcorR;ClcorM;e_ClcorM;ClcorR;e_ClcorR;Phase;M17;Simbad;_RA;_DE
 8870432; 9.780;17;1235.50; 44.52; 0.45; 5.039; 0.035;158.3; 19.4; 17.5; 2.3;   1944.5;   197.1;4733;100; 2.553; 0.008; 0.54; 0.15; 1.15; 0.07; 9.37; 0.23; 1.09; 0.07; 9.16; 0.22; 1.14; 0.07; 9.37; 0.23;2;M17;Simbad;285.3189100;+45.1689000
 8870446;13.500; 7; 548.10; 35.75; 0.37; 4.004; 0.075;112.0;  4.9; 12.7; 1.5;   3004.8;   338.1;5144;158; 2.476; 0.009;-0.05; 0.30; 1.69; 0.17;12.43; 0.55; 1.70; 0.17;12.46; 0.55; 1.72; 0.17;12.56; 0.56;2;M17;Simbad;285.3268100;+45.1830789
 8870548;13.840;16;1275.90; 30.35; 0.47; 3.830; 0.019;109.1;  5.6; 11.3; 1.3;   4415.8;   256.0;4676;163; 2.384; 0.011; 0.02; 0.30; 1.07; 0.09;11.00; 0.32; 0.97; 0.08;10.49; 0.30; 1.07; 0.09;11.01; 0.32;2;M17;Simbad;285.3837000;+45.1261669
 8870850;12.210; 7; 548.10; 34.84; 0.30; 3.960; 0.014;105.8;  5.0; 11.2; 0.8;   2322.1;   208.4;5063;100; 2.462; 0.007;-0.43; 0.15; 1.59; 0.09;12.28; 0.25; 1.51; 0.08;11.98; 0.25; 1.64; 0.09;12.47; 0.26;1;M17;Simbad;285.5419900;+45.1106989
 8871554;13.260; 8; 557.60; 31.89; 0.57; 3.959; 0.046;132.5;  4.8; 14.4; 1.5;   4603.6;   334.2;5130;158; 2.426; 0.011; 0.10; 0.30; 1.25; 0.12;11.32; 0.41; 1.29; 0.12;11.52; 0.42; 1.26; 0.12;11.37; 0.41;2;M17;Simbad;285.8512900;+45.1551819
 8872046;12.210;15;1138.70; 66.18; 0.45; 6.512; 0.022; 85.9;  4.3; 18.3; 1.0;    765.6;    60.7;4857;100; 2.731; 0.007;-0.02; 0.15; 1.40; 0.07; 8.45; 0.17; 1.32; 0.07; 8.21; 0.16; 1.42; 0.08; 8.51; 0.17;1;M17;Simbad;286.0712600;+45.1504100
 8872709; 9.780;18;1317.80; 38.19; 0.55; 4.342; 0.027; 87.6;  3.2; 14.4; 1.0;   2140.0;   140.0;5034;100; 2.500; 0.009;-0.02; 0.15; 1.44; 0.10;11.17; 0.29; 1.42; 0.10;11.11; 0.28; 1.46; 0.10;11.25; 0.29;2;M17;Simbad;286.3963900;+45.1106611
 8872890;13.490;15;1211.60;162.91; 0.76;13.047; 0.015; 49.6;  2.3; 42.4; 1.7;     73.8;    14.6;5189;165; 3.137; 0.008; 0.29; 0.30; 1.43; 0.09; 5.36; 0.12; 1.50; 0.09; 5.48; 0.12; 1.45; 0.09; 5.38; 0.12;1;M17;Simbad;286.4798300;+45.1697200
 8872979;10.760;18;1317.80; 75.42; 1.17; 6.303; 0.042; 33.9;  1.3; 26.5; 1.5;    327.9;    21.6;5326;100; 2.808; 0.009; 0.03; 0.15; 2.72; 0.19;10.77; 0.29; 2.99; 0.21;11.29; 0.30; 2.84; 0.20;11.00; 0.29;2;M17;Simbad;286.5300300;+45.1256900
 8873797;11.910;18;1317.80; 30.24; 0.72; 3.864; 0.037;133.0;  6.2; 13.2; 1.7;   6075.2;   408.3;4908;100; 2.393; 0.012; 0.33; 0.15; 1.10; 0.10;11.03; 0.39; 1.12; 0.11;11.12; 0.39; 1.09; 0.10;11.01; 0.39;2;M17;Simbad;286.9114700;+45.1514889
 8878424;12.930; 8; 557.60; 56.49; 0.69; 5.856; 0.017; 75.9;  4.3; 16.5; 1.3;   1937.3;    96.5;4573; 80; 2.649; 0.008; 0.00; 0.15; 1.22; 0.07; 8.66; 0.19; 1.08; 0.06; 8.14; 0.17; 1.21; 0.07; 8.63; 0.19;1;M17;Simbad;289.1182600;+45.1479111
 8879369;12.100;18;1318.00; 60.28; 0.53; 6.161; 0.015; 77.2;  3.3; 19.3; 0.8;    923.5;    59.2;4776; 80; 2.687; 0.007;-0.10; 0.15; 1.29; 0.07; 8.53; 0.16; 1.18; 0.06; 8.16; 0.16; 1.30; 0.07; 8.56; 0.16;1;M17;Simbad;289.5080000;+45.1648711
 8879448;13.730; 5; 371.40; 28.09; 1.28; 3.609; 0.154;151.9;  7.6; 15.2; 2.4;   5863.3;   856.2;4908;150; 2.361; 0.021;-0.37; 0.30; 1.15; 0.26;11.74; 1.16; 1.07; 0.24;11.28; 1.10; 1.17; 0.26;11.81; 1.17;2;M17;Simbad;289.5458400;+45.1990389
 8879491;12.760;17;1308.50; 60.22; 2.00; 5.504; 0.040; 28.3;  2.0; 23.1; 2.5;    455.6;    32.9;5145; 80; 2.703; 0.015;-0.47; 0.15; 2.26; 0.25;11.08; 0.44; 2.25; 0.25;11.05; 0.44; 2.38; 0.27;11.38; 0.45;2;M17;Simbad;289.5619200;+45.1122511
 8879518;10.980;18;1318.00; 46.18; 0.82; 4.701; 0.039; 49.5;  2.7; 17.8; 2.2;   1662.2;    85.1;4863; 80; 2.575; 0.010; 0.14; 0.15; 1.76; 0.13;11.32; 0.33; 1.67; 0.13;11.05; 0.32; 1.80; 0.14;11.46; 0.34;2;M17;Simbad;289.5685700;+45.1146389
 8879558;12.560; 7; 467.30; 32.69; 0.48; 3.853; 0.015;117.2;  5.6; 11.9; 0.8;   3534.4;   336.4;4838;144; 2.424; 0.010;-0.30; 0.30; 1.37; 0.10;11.90; 0.31; 1.24; 0.09;11.34; 0.30; 1.38; 0.10;11.95; 0.32;2;M17;Simbad;289.5928000;+45.1452100
 8879938;12.650;18;1318.00; 95.38; 0.56; 8.327; 0.017; 57.8;  2.2; 29.0; 1.3;    261.1;    52.9;4801; 80; 2.887; 0.006; 0.15; 0.15; 1.54; 0.07; 7.41; 0.13; 1.45; 0.07; 7.19; 0.13; 1.57; 0.08; 7.47; 0.13;1;M17;Simbad;289.7538500;+45.1061519
 8880420;11.590;18;1318.00; 20.21; 0.47; 2.653; 0.013;168.7;  9.2;  8.4; 0.9;  10617.0;   704.4;4529; 80; 2.201; 0.012;-0.15; 0.15; 1.31; 0.11;15.01; 0.45; 1.14; 0.10;14.04; 0.42; 1.28; 0.11;14.88; 0.45;1;M17;Simbad;289.9623100;+45.1091000
 8880751;12.500; 4; 214.90; 59.81; 1.04; 6.088; 0.016; 86.6;  4.2; 21.9; 1.5;    763.7;   265.8;4771;167; 2.683; 0.012; 0.32; 0.30; 1.32; 0.11; 8.66; 0.25; 1.26; 0.10; 8.47; 0.24; 1.32; 0.11; 8.68; 0.25;1;M17;Simbad;290.0799600;+45.1531300
 8880933;13.620;13;1015.10; 27.97; 0.80; 3.898; 0.065; 98.4;  8.0; 11.0; 4.5;   6765.3;   706.2;5000;175; 2.363; 0.015; 0.07; 0.30; 0.86; 0.11;10.12; 0.50; 0.90; 0.11;10.36; 0.52; 0.87; 0.11;10.16; 0.50;2;M17;Simbad;290.1373300;+45.1585200
 8882190;12.590;17;1235.70; 28.93; 0.60; 3.806; 0.062;127.2;  5.3; 12.6; 1.0;   5453.7;   395.6;4867;145; 2.372; 0.012;-0.13; 0.30; 1.01; 0.11;10.83; 0.47; 0.97; 0.10;10.63; 0.46; 1.01; 0.11;10.84; 0.47;2;M17;Simbad;290.5579500;+45.1226389
 8885470;12.860; 7; 467.30; 30.47; 1.53; 3.723; 0.098; 94.7;  9.2; 15.4; 5.2;   5715.8;  1027.0;4722;144; 2.388; 0.023; 0.56; 0.30; 1.23; 0.24;11.74; 0.89; 1.18; 0.23;11.52; 0.87; 1.25; 0.24;11.82; 0.90;2;M17;Simbad;291.7700800;+45.1875311
 8886171;13.320; 9; 656.10; 52.72; 0.52; 5.686; 0.015; 95.2;  4.9; 16.2; 1.0;   1635.4;   102.6;4989;174; 2.638; 0.010;-0.38; 0.30; 1.27; 0.09; 8.95; 0.22; 1.20; 0.08; 8.70; 0.22; 1.30; 0.09; 9.05; 0.23;1;M17;Simbad;292.0322900;+45.1914411
 8888925;12.780; 7; 467.30; 32.91; 0.44; 4.059; 0.047;129.8;  5.0; 13.4; 1.4;   3337.8;   354.9;4756; 80; 2.423; 0.008; 0.07; 0.15; 1.11; 0.08;10.70; 0.34; 1.04; 0.08;10.38; 0.32; 1.11; 0.08;10.73; 0.34;2;M17;Simbad;293.0757800;+45.1968381
 8890410;11.040;15;1138.70; 62.94; 1.37; 5.400; 0.033; 44.6;  1.5; 25.8; 1.5;    426.3;    26.4;5092;100; 2.720; 0.011; 0.19; 0.15; 2.74; 0.23;11.97; 0.36; 2.89; 0.24;12.29; 0.37; 2.83; 0.24;12.17; 0.37;2;M17;Simbad;293.6071800;+45.1308289
 8891496;13.800; 7; 548.10; 27.34; 0.46; 4.045; 0.109;128.7;  5.7; 11.6; 1.0;   6038.8;   429.8;5305;176; 2.367; 0.011;-0.23; 0.30; 0.76; 0.10; 9.46; 0.57; 0.81; 0.11; 9.79; 0.60; 0.77; 0.10; 9.53; 0.58;2;M17;Simbad;293.9850200;+45.1352311
 8891630;11.090; 4; 206.30; 38.02; 2.44; 3.937; 0.164; 42.4;  6.3; 18.3; 5.2;   1593.2;   156.7;5155;169; 2.503; 0.029; 0.22; 0.30; 2.18; 0.57;13.69; 1.47; 2.28; 0.60;13.99; 1.51; 2.23; 0.59;13.85; 1.49;2;M17;Simbad;294.0299100;+45.1124989
 8891778;13.637;17;1308.34;210.83; 1.11;16.433; 0.053;     ;     ;     ;    ;         ;        ;4967;155; 3.239; 0.008; 0.25; 0.30; 1.16; 0.07; 4.28; 0.10; 1.18; 0.07; 4.32; 0.10; 1.16; 0.07; 4.28; 0.10;1;M17;Simbad;294.0708600;+45.1002881
 8891957;13.060; 8; 557.50; 63.51; 1.01; 6.108; 0.017; 65.3;  2.7; 22.0; 1.0;    682.7;    41.8;4832; 80; 2.712; 0.009;-0.08; 0.15; 1.59; 0.10; 9.20; 0.22; 1.47; 0.10; 8.85; 0.21; 1.61; 0.11; 9.25; 0.22;1;M17;Simbad;294.1213400;+45.1199800
 8892050;13.985;15;1211.54;201.72; 1.50;15.222; 0.046;     ;     ;     ;    ;         ;        ;5038;166; 3.223; 0.009; 0.32; 0.30; 1.41; 0.09; 4.80; 0.11; 1.43; 0.10; 4.85; 0.12; 1.41; 0.09; 4.82; 0.11;1;M17;Simbad;294.1518600;+45.1364100
 8892202;13.520; 6; 457.80; 51.54; 0.85; 5.336; 0.016; 90.9;  3.6; 18.6; 1.0;   1350.4;    83.9;4820;147; 2.621; 0.011;-0.10; 0.30; 1.45; 0.11; 9.77; 0.27; 1.34; 0.10; 9.38; 0.25; 1.47; 0.11; 9.83; 0.27;1;M17;Simbad;294.2047100;+45.1653789
 8892211;13.140;17;1308.30;187.22; 1.75;14.143; 0.017; 25.8;  1.6; 88.7;20.7;     32.6;     6.4;5048;150; 3.191; 0.009;-0.28; 0.30; 1.51; 0.10; 5.17; 0.12; 1.45; 0.09; 5.06; 0.11; 1.55; 0.10; 5.24; 0.12;1;M17;Simbad;294.2082200;+45.1708111
 8892924;10.560; 4; 206.30; 23.66; 0.87; 3.160; 0.064;119.8; 13.2;  7.7; 1.2;   6321.6;   976.7;4990;150; 2.290; 0.018;-0.27; 0.30; 1.20; 0.18;13.01; 0.76; 1.16; 0.17;12.75; 0.74; 1.22; 0.18;13.09; 0.77;2;M17;Simbad;294.4192800;+45.1951100
 8893087;13.270;18;1317.80;117.39; 0.75;10.344; 0.018; 63.1;  2.4; 33.3; 1.2;    172.8;    37.3;4979;154; 2.986; 0.008; 0.07; 0.30; 1.28; 0.08; 6.02; 0.13; 1.27; 0.08; 6.01; 0.13; 1.29; 0.08; 6.04; 0.13;1;M17;Simbad;294.4729300;+45.1089711
 8893299;12.266;18;1317.78;254.82; 2.38;18.291; 0.029;     ;     ;     ;    ;         ;        ;5091;152; 3.327; 0.009;-0.02; 0.30; 1.38; 0.09; 4.22; 0.10; 1.39; 0.09; 4.24; 0.10; 1.40; 0.09; 4.25; 0.10;1;M17;Simbad;294.5430300;+45.1996119
 8895291;12.890; 8; 557.60; 49.31; 1.13; 4.843; 0.040; 48.0;  3.0; 19.1; 1.5;   1013.0;    74.3;4931;155; 2.607; 0.013;-0.51; 0.30; 1.94; 0.19;11.47; 0.40; 1.79; 0.17;11.00; 0.39; 1.96; 0.19;11.53; 0.41;2;M17;Simbad;295.2036100;+45.1915281
 8896115;12.060; 8; 557.60; 52.46; 0.58; 5.573; 0.012; 91.6;  4.7; 18.2; 1.4;   1145.0;    61.0;4723; 80; 2.624; 0.007;-0.25; 0.15; 1.25; 0.07; 9.02; 0.18; 1.11; 0.06; 8.49; 0.17; 1.24; 0.07; 8.98; 0.18;2;M17;Simbad;295.4565700;+45.1657911
 8899312;11.880; 5; 375.10; 29.18; 0.62; 3.953; 0.047;112.6;  4.9; 15.8; 1.3;   4356.8;   393.4;4963;152; 2.380; 0.012;-0.13; 0.30; 0.92; 0.09;10.22; 0.39; 0.93; 0.09;10.31; 0.39; 0.92; 0.09;10.25; 0.39;2;M17;Simbad;296.5917100;+45.1010089
 8907526;13.920; 7; 548.20;146.15; 1.16;12.393; 0.036; 57.7;  2.7; 44.8; 2.0;    114.3;    28.1;4790;153; 3.072; 0.009;-0.30; 0.30; 1.13; 0.07; 5.12; 0.12; 1.01; 0.07; 4.84; 0.11; 1.12; 0.07; 5.10; 0.12;1;M17;Simbad;298.6742200;+45.1926119
 8907943;12.040;18;1318.20; 33.77; 0.95; 3.967; 0.036;129.4;  5.0; 14.5; 1.1;   4376.9;   228.1;4628; 80; 2.429; 0.013; 0.31; 0.15; 1.26; 0.13;11.34; 0.42; 1.16; 0.12;10.89; 0.40; 1.26; 0.13;11.35; 0.42;2;M17;Simbad;298.7886000;+45.1770900
 8909673;11.710;18;1318.20; 43.66; 0.98; 4.610; 0.016; 56.6;  2.7; 17.6; 1.9;   1352.7;    53.2;4839; 80; 2.550; 0.011;-0.09; 0.15; 1.60; 0.13;11.11; 0.32; 1.48; 0.12;10.69; 0.31; 1.62; 0.13;11.18; 0.32;2;M17;Simbad;299.3041400;+45.1251911
 8911558;11.320;18;1318.20; 39.01; 1.07; 4.453; 0.035; 61.4;  3.3; 16.9; 1.2;   1883.9;   122.9;4908; 80; 2.504; 0.013; 0.00; 0.15; 1.33; 0.13;10.71; 0.38; 1.29; 0.13;10.51; 0.37; 1.35; 0.13;10.78; 0.38;2;M17;Simbad;299.8439000;+45.1905289
 8914107;12.080;17;1236.00;156.18; 0.92;12.498; 0.025; 35.0;  1.3; 43.8; 1.9;     31.6;     6.4;4904; 80; 3.106; 0.006;-0.07; 0.15; 1.38; 0.07; 5.44; 0.10; 1.31; 0.06; 5.31; 0.09; 1.40; 0.07; 5.48; 0.10;1;M17;Simbad;300.5951500;+45.1558689
 8914297;12.380; 7; 467.40; 71.86; 0.49; 7.422; 0.025; 69.1;  2.4; 22.4; 0.9;    457.0;    56.0;4751; 80; 2.762; 0.006;-0.50; 0.15; 1.03; 0.05; 6.99; 0.13; 0.89; 0.04; 6.50; 0.12; 1.00; 0.05; 6.89; 0.13;1;M17;Simbad;300.6501800;+45.1998789
 8914504;11.550;18;1318.30; 33.90; 0.88; 4.157; 0.029;105.1;  4.6; 13.7; 0.9;   3115.7;   233.6;4833; 80; 2.440; 0.013;-0.11; 0.15; 1.13; 0.11;10.60; 0.36; 1.06; 0.10;10.27; 0.35; 1.13; 0.11;10.63; 0.36;2;M17;Simbad;300.7054400;+45.1043011
 8914923;10.510; 4; 206.40; 61.78;12.36; 6.639; 0.190; 32.2; 18.0; 14.3; 7.6;    772.3;   345.2;4917; 80; 2.704; 0.087; 0.06; 0.15; 1.08; 0.66; 7.64; 1.59; 1.08; 0.66; 7.64; 1.59; 1.08; 0.66; 7.66; 1.60;2;M17;Simbad;300.8171100;+45.1553611
 8915786;11.400;16;1210.10;105.20; 1.30; 8.267; 0.019; 25.1;  1.6; 34.0; 5.8;    122.3;    22.6;5034; 80; 2.940; 0.008;-0.03; 0.15; 2.29; 0.13; 8.49; 0.18; 2.28; 0.13; 8.47; 0.18; 2.38; 0.14; 8.65; 0.18;1;M17;Simbad;301.0724800;+45.1550481
 8933174;12.270;14;1052.70; 31.91; 0.46; 3.620; 0.011;140.4;  6.7; 12.3; 0.9;   5017.4;   261.5;4598;131; 2.403; 0.010; 0.44; 0.30; 1.52; 0.11;12.83; 0.33; 1.38; 0.10;12.24; 0.31; 1.51; 0.11;12.79; 0.32;1;M17;Simbad;282.9230700;+45.2612500
 8933234;13.520;18;1317.60;181.87; 0.94;14.628; 0.045; 47.9;  2.0; 47.1; 2.1;     46.3;     8.8;5113;150; 3.181; 0.008;-0.24; 0.30; 1.24; 0.07; 4.72; 0.10; 1.24; 0.07; 4.73; 0.10; 1.25; 0.08; 4.75; 0.10;1;M17;Simbad;282.9545000;+45.2320289
 8934264;11.550;18;1317.60;  8.61; 0.36; 1.419; 0.019;332.0; 28.9;  3.8; 0.5;  81849.9; 10183.8;4526;100; 1.830; 0.019;-0.39; 0.15; 1.23; 0.18;22.36; 1.19; 1.06; 0.15;20.74; 1.09; 1.19; 0.17;21.98; 1.16;1;M17;Simbad;283.4192800;+45.2133789
 8935612;12.630;18;1317.60; 29.96; 0.76; 3.875; 0.064;140.6;  6.7; 12.0; 1.3;   6322.8;   380.5;4763; 80; 2.383; 0.012;-0.08; 0.15; 1.01; 0.11;10.70; 0.48; 0.94; 0.10;10.32; 0.46; 1.01; 0.11;10.71; 0.48;2;M17;Simbad;284.1114500;+45.2602881
 8936084;12.030;18;1317.60; 31.55; 0.75; 4.210; 0.100;118.2;  5.8; 12.4; 1.0;   4950.2;   231.0;5111;100; 2.421; 0.012;-0.60; 0.15; 0.94; 0.12; 9.89; 0.55; 0.93; 0.12; 9.84; 0.55; 0.95; 0.12; 9.93; 0.56;2;M17;Simbad;284.3322100;+45.2700389
 8936104;12.410; 8; 557.50; 31.75; 0.75; 3.789; 0.048;147.4;  6.1; 13.7; 1.5;   4966.8;   429.1;4672;100; 2.404; 0.012; 0.45; 0.15; 1.28; 0.13;11.75; 0.46; 1.23; 0.12;11.53; 0.45; 1.30; 0.13;11.85; 0.46;2;M17;Simbad;284.3495200;+45.2133711
 8936339;12.110;18;1317.60; 44.22; 0.81; 4.572; 0.070; 54.8;  2.8; 17.4; 1.9;   1723.4;    89.8;5070;100; 2.565; 0.010; 0.03; 0.15; 1.84; 0.17;11.71; 0.46; 1.82; 0.17;11.64; 0.46; 1.88; 0.18;11.85; 0.47;2;M17;Simbad;284.4629200;+45.2718200
 8936347;12.900;16;1149.40; 73.59; 0.60; 7.042; 0.017; 84.5;  4.0; 22.5; 1.0;    589.5;    34.2;4732; 80; 2.772; 0.007; 0.20; 0.15; 1.36; 0.07; 7.93; 0.15; 1.27; 0.07; 7.67; 0.15; 1.37; 0.07; 7.98; 0.15;1;M17;Simbad;284.4661900;+45.2398911
 8936409;11.700;18;1317.60;  6.89; 0.18; 1.229; 0.023;393.1; 34.2;  2.7; 0.3; 132223.2; 14926.8;4424;100; 1.729; 0.013;-0.28; 0.15; 1.09; 0.13;23.60; 1.16; 0.93; 0.11;21.77; 1.05; 1.05; 0.13;23.21; 1.14;1;M17;Simbad;284.4975900;+45.2966381
 8936708;13.770;17;1308.20; 24.46; 0.41; 3.262; 0.018;188.7; 11.1;  8.8; 0.7;   9544.9;   599.9;5009;149; 2.306; 0.011;-0.53; 0.30; 1.18; 0.09;12.65; 0.36; 1.11; 0.09;12.25; 0.35; 1.21; 0.10;12.79; 0.37;2;M17;Simbad;284.6516700;+45.2382319
 8936877;13.170; 7; 467.20; 24.48; 0.33; 3.141; 0.019;192.5; 11.5;  8.3; 1.1;   6826.9;   769.4;4487; 80; 2.282; 0.008;-0.34; 0.15; 1.17; 0.08;12.92; 0.32; 1.00; 0.06;11.96; 0.29; 1.13; 0.07;12.71; 0.31;1;M17;Simbad;284.7300700;+45.2538300
 8937073;11.430;15;1138.60; 25.14; 0.51; 3.222; 0.027;141.1;  7.2; 10.7; 1.6;   7421.2;   491.9;4706;100; 2.304; 0.011; 0.06; 0.15; 1.22; 0.10;12.91; 0.41; 1.12; 0.09;12.37; 0.39; 1.23; 0.10;12.95; 0.41;2;M17;Simbad;284.8165300;+45.2782781
 8937747;13.820; 9; 715.00; 40.57; 0.38; 4.614; 0.024;113.5;  5.4; 13.4; 0.7;   2367.7;   195.1;4990;148; 2.525; 0.009;-0.33; 0.30; 1.34; 0.09;10.46; 0.26; 1.27; 0.08;10.18; 0.25; 1.36; 0.09;10.57; 0.26;1;M17;Simbad;285.2047700;+45.2611200
 8937971;13.590;15;1135.10; 85.39; 1.01; 7.972; 0.018; 45.5;  3.2; 22.9; 1.9;    549.8;    62.8;5062;153; 2.851; 0.009;-0.04; 0.30; 1.43; 0.10; 7.43; 0.18; 1.42; 0.10; 7.42; 0.18; 1.45; 0.10; 7.48; 0.18;1;M17;Simbad;285.3409400;+45.2730900
 8939394;15.170;17;1308.40; 30.28; 0.63; 4.091; 0.189;118.6;  7.1; 12.3; 1.5;   7077.2;   793.1;5401;160; 2.415; 0.012;-0.57; 0.30; 1.01; 0.21;10.33; 1.00; 1.06; 0.22;10.59; 1.04; 1.03; 0.21;10.45; 1.02;2;M17;Simbad;286.0030200;+45.2832489
 8939889;12.700;16;1221.10; 35.31; 0.89; 4.248; 0.079;120.7;  4.3; 15.7; 1.4;   3094.4;   253.5;4694; 80; 2.451; 0.012; 0.27; 0.15; 1.12; 0.13;10.42; 0.50; 1.06; 0.12;10.13; 0.48; 1.12; 0.13;10.42; 0.50;2;M17;Simbad;286.2541200;+45.2750589
 8939964;12.040;18;1317.80; 28.25; 0.60; 4.055; 0.058;149.8;  6.9; 12.7; 1.3;   7614.1;   482.6;5039;100; 2.369; 0.011;-0.44; 0.15; 0.77; 0.07; 9.48; 0.38; 0.79; 0.08; 9.59; 0.38; 0.78; 0.08; 9.57; 0.38;2;M17;Simbad;286.2938800;+45.2709881
 8939995;13.730;15;1211.60; 70.43; 0.68; 6.693; 0.016; 74.1;  3.4; 22.4; 1.3;    715.3;    85.1;4996;149; 2.764; 0.009;-0.01; 0.30; 1.58; 0.10; 8.64; 0.20; 1.54; 0.10; 8.52; 0.20; 1.60; 0.10; 8.69; 0.20;1;M17;Simbad;286.3063000;+45.2130389
 8940098;12.240; 8; 557.60; 33.48; 0.54; 4.160; 0.050;113.5;  5.6; 13.7; 1.0;   3661.4;   379.5;5022;100; 2.443; 0.009;-0.12; 0.15; 1.15; 0.09;10.65; 0.36; 1.15; 0.09;10.65; 0.36; 1.15; 0.10;10.69; 0.36;2;M17;Simbad;286.3568700;+45.2204400
 8940241;12.700;15;1138.70; 33.42; 0.71; 4.014; 0.034;127.0;  4.7; 14.0; 1.7;   3564.8;   275.9;4753; 80; 2.430; 0.011; 0.17; 0.15; 1.21; 0.10;11.11; 0.35; 1.14; 0.10;10.80; 0.34; 1.22; 0.10;11.15; 0.35;2;M17;Simbad;286.4240100;+45.2037089
 8940851; 9.760;17;1235.50; 14.85; 0.23; 2.112; 0.020;246.2; 21.1;  4.9; 0.5;  26786.1;  2162.7;4417; 80; 2.062; 0.009;-0.01; 0.15; 1.24; 0.09;17.20; 0.51; 1.08; 0.08;16.02; 0.47; 1.22; 0.09;17.04; 0.50;1;M17;Simbad;286.7432900;+45.2458500
 8941196;12.540;18;1317.80; 63.39; 0.48; 6.233; 0.015; 70.4;  3.1; 20.1; 1.2;    746.5;    50.5;4777; 80; 2.709; 0.007; 0.01; 0.15; 1.43; 0.07; 8.76; 0.16; 1.33; 0.07; 8.43; 0.16; 1.45; 0.07; 8.82; 0.17;1;M17;Simbad;286.8992000;+45.2184789
 8941202;11.760;18;1317.80; 34.80; 0.76; 4.130; 0.045; 93.1;  3.9; 15.0; 1.3;   2209.2;   238.4;5046;100; 2.460; 0.011;-0.22; 0.15; 1.34; 0.12;11.26; 0.40; 1.30; 0.12;11.13; 0.39; 1.36; 0.12;11.36; 0.40;2;M17;Simbad;286.9023700;+45.2773400
 8946471;12.060;18;1318.00; 37.62; 0.70; 4.334; 0.036; 95.6;  4.0; 15.4; 1.2;   2700.3;   164.0;4817; 80; 2.484; 0.010; 0.10; 0.15; 1.30; 0.10;10.80; 0.32; 1.23; 0.10;10.53; 0.31; 1.31; 0.10;10.86; 0.33;2;M17;Simbad;289.4083600;+45.2638400
 8946504;13.600;18;1318.00; 81.22; 0.75; 7.651; 0.016; 59.1;  2.3; 28.6; 1.9;    206.6;    46.7;5126;153; 2.832; 0.009;-0.44; 0.30; 1.48; 0.09; 7.72; 0.18; 1.43; 0.09; 7.60; 0.17; 1.52; 0.10; 7.83; 0.18;1;M17;Simbad;289.4220000;+45.2338600
 8946619;11.990;16;1209.80; 33.63; 0.58; 4.025; 0.018;112.1;  4.7; 12.3; 0.8;   3581.6;   199.3;4855; 80; 2.437; 0.009;-0.10; 0.15; 1.26; 0.09;11.24; 0.29; 1.18; 0.08;10.89; 0.28; 1.27; 0.09;11.29; 0.29;2;M17;Simbad;289.4673800;+45.2328800
 8946818;12.520;16;1221.20; 27.73; 0.62; 3.723; 0.045;126.7;  4.8; 11.5; 1.2;   4861.4;   320.2;4876; 80; 2.354; 0.011;-0.26; 0.15; 0.97; 0.09;10.86; 0.40; 0.92; 0.09;10.56; 0.39; 0.97; 0.09;10.86; 0.40;2;M17;Simbad;289.5538600;+45.2969019
 8946951;13.860;15;1211.70;104.55; 0.83; 9.078; 0.017; 53.9;  2.1; 34.9; 2.3;    111.9;    24.2;5056;155; 2.939; 0.009;-0.35; 0.30; 1.56; 0.10; 7.01; 0.16; 1.49; 0.09; 6.85; 0.15; 1.60; 0.10; 7.11; 0.16;1;M17;Simbad;289.6099900;+45.2430111
 8947422;12.520;18;1318.00; 36.18; 0.62; 4.047; 0.026; 98.2;  4.7; 14.5; 1.2;   2989.4;   179.2;4720; 80; 2.463; 0.009; 0.21; 0.15; 1.47; 0.11;11.80; 0.32; 1.37; 0.10;11.38; 0.30; 1.49; 0.11;11.88; 0.32;2;M17;Simbad;289.8432000;+45.2551611
 8947883;13.070; 3; 124.70; 32.30; 1.61; 3.869; 0.343;136.8; 10.4; 15.1; 2.7;   5027.4;   679.5;4823;168; 2.418; 0.023;-0.03; 0.30; 1.30; 0.51;11.65; 2.16; 1.21; 0.47;11.27; 2.06; 1.31; 0.51;11.71; 2.18;2;M17;Simbad;290.0257000;+45.2623100
 8948403; 9.830;17;1235.70; 30.15; 0.75; 3.110; 0.030; 96.8;  4.4; 13.3; 1.7;   4634.8;   305.0;4703; 80; 2.383; 0.012; 0.18; 0.15; 2.43; 0.23;16.61; 0.59; 2.32; 0.22;16.23; 0.57; 2.48; 0.24;16.79; 0.60;2;M17;Simbad;290.2015100;+45.2496189
 8948617;13.030; 6; 380.80; 42.30; 0.68; 4.814; 0.020;113.1;  5.8; 14.7; 1.0;   2172.3;   161.9;4617; 80; 2.526; 0.009;-0.28; 0.15; 1.14; 0.08; 9.64; 0.24; 0.98; 0.07; 8.97; 0.22; 1.11; 0.07; 9.52; 0.23;1;M17;Simbad;290.2744400;+45.2157900
