KIC;Kpmag;QLen;DLen;numax;e_numax;Delnu;e_Delnu;A;e_A;Width;e_Width;Gran;e_Gran;Teff;e_Teff;logg;e_log(g);[Fe/H];e_[Fe/H];NoCorM;e_NoCorM;NoCorR;e_NoCorR;RGBcorM;e_RGBcorM;RGBcorR;e_RGBcorR;ClcorM;e_ClcorM;ClcorR;e_ClcorR;Phase;M17;Simbad;_RA;_DE
 1027337;12.110;18;1318.10; 74.21; 0.68; 6.937; 0.014; 66.8;  2.8; 23.8; 1.1;    534.7;    52.1;4671; 80; 2.772; 0.007; 0.29; 0.15; 1.45; 0.08; 8.19; 0.16; 1.34; 0.07; 7.89; 0.15; 1.46; 0.08; 8.23; 0.16;1;M17;Simbad;291.3342300;+36.7866289
 1027582;13.880;17;1308.70;157.75; 1.06;12.633; 0.018; 46.6;  2.2; 42.7; 2.7;     49.3;    14.1;5039;155; 3.116; 0.008;-0.10; 0.30; 1.42; 0.09; 5.45; 0.12; 1.39; 0.09; 5.41; 0.12; 1.44; 0.09; 5.50; 0.12;1;M17;Simbad;291.3834800;+36.7409781
 1028267;13.280; 8; 638.90;103.13; 0.83; 9.468; 0.017; 54.8;  2.0; 30.8; 2.4;     89.1;    15.1;5242;183; 2.940; 0.009;-0.17; 0.30; 1.33; 0.09; 6.47; 0.16; 1.38; 0.09; 6.58; 0.16; 1.35; 0.09; 6.53; 0.16;1;M17;Simbad;291.5236200;+36.7382511
 1160684;14.910;17;1308.70; 26.38; 0.97; 3.361; 0.223;121.1;  8.3; 20.9; 3.5;   1184.2;   426.7;4128;128; 2.296; 0.018;-0.09; 0.30; 0.98; 0.29;11.66; 1.62; 0.82; 0.23;10.66; 1.43; 0.95; 0.28;11.47; 1.59;2;M17;Simbad;290.8527500;+36.8691600
 1160789; 9.700;18;1318.10; 24.72; 0.62; 3.509; 0.048;149.0;  7.3; 11.1; 1.5;   9115.0;   643.5;4724; 80; 2.297; 0.012;-0.27; 0.15; 0.83; 0.09;10.72; 0.44; 0.74; 0.08;10.14; 0.41; 0.83; 0.09;10.70; 0.43;2;M17;Simbad;290.8866600;+36.8724289
 1161447;12.610; 7; 467.30; 36.18; 1.55; 4.125; 0.057;100.3;  4.2; 15.5; 1.6;   3105.1;   255.4;4793; 80; 2.466; 0.019; 0.07; 0.15; 1.40; 0.20;11.44; 0.61; 1.31; 0.19;11.07; 0.59; 1.41; 0.21;11.52; 0.62;2;M17;Simbad;291.0727800;+36.8628011
 1161618;10.220;18;1318.10; 34.32; 0.50; 4.108; 0.028;121.7;  5.5; 14.4; 1.8;   2954.8;   410.5;4747; 80; 2.441; 0.009; 0.08; 0.15; 1.19; 0.08;10.89; 0.28; 1.11; 0.08;10.52; 0.27; 1.20; 0.08;10.92; 0.28;2;M17;Simbad;291.1089200;+36.8132900
 1162220;11.220;18;1318.10; 11.00; 0.32; 1.668; 0.021;311.6; 20.5;  4.9; 0.7;  54925.9;  5161.3;4218; 80; 1.921; 0.014; 0.01; 0.15; 1.21; 0.13;19.96; 0.84; 1.04; 0.11;18.52; 0.77; 1.18; 0.13;19.67; 0.83;1;M17;Simbad;291.2413300;+36.8916211
 1162746;11.450;18;1318.10; 27.38; 0.77; 3.703; 0.111;140.5;  6.2; 12.3; 1.9;   6804.2;   611.0;4989;100; 2.354; 0.014;-0.56; 0.15; 0.99; 0.15;10.96; 0.75; 0.93; 0.14;10.64; 0.72; 1.01; 0.16;11.07; 0.76;2;M17;Simbad;291.3599900;+36.8198889
 1163114;12.720;17;1308.70; 14.24; 0.44; 1.898; 0.016;212.6; 16.4;  5.9; 0.9;  29147.4;  2741.9;4311; 80; 2.038; 0.015; 0.26; 0.15; 1.62; 0.18;20.17; 0.79; 1.44; 0.15;18.99; 0.73; 1.61; 0.17;20.09; 0.78;1;M17;Simbad;291.4401900;+36.8465389
